Designator,Comment,Footprint,Mid X,Mid Y,Rotation,Layer
H2,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,23.063000,0.940000,-90.000000,TopLayer
H3,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,33.223000,0.940000,-90.000000,TopLayer
H12,Conn_01x02,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",7.505000,41.580000,-90.000000,TopLayer
H13,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,33.223000,-7.442000,-90.000000,TopLayer
J1,Micro_SD_Card,microSD_HC_Hirose_DM3D-SF,39.586000,45.020000,0.000000,TopLayer
J2,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,25.730000,26.035200,-90.000000,TopLayer
J4,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,68.910000,28.370000,90.000000,TopLayer
J6,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,20.513000,18.974000,90.000000,TopLayer
J7,Conn_01x05,PinHeader_1x05_P2.54mm_Vertical,20.513000,10.719000,90.000000,TopLayer
L1,3.3u,L_pol_2016,57.226000,24.678000,-90.000000,TopLayer
Q1,2N7002,SOT-23,54.002500,-13.030000,0.000000,TopLayer
R1,330R,R_0603_1608Metric,20.206000,6.020000,0.000000,TopLayer
R2,330R,R_0603_1608Metric,30.874000,5.893000,180.000000,TopLayer
R3,1K,R_0603_1608Metric,45.605000,-5.410000,180.000000,TopLayer
R4,2K,R_0603_1608Metric,45.605000,-2.870000,180.000000,TopLayer
R5,47R,R_2512_6332Metric,45.373500,2.845000,0.000000,TopLayer
R7,0,R_0402_1005Metric,61.210000,42.371000,-90.000000,TopLayer
R8,5.1K,R_0402_1005Metric,62.050000,26.340000,180.000000,TopLayer
R10,1k,R_0402_1005Metric,38.898000,27.554000,180.000000,TopLayer
R11,5.1K,R_0402_1005Metric,62.050000,31.420000,180.000000,TopLayer
R12,1k,R_0402_1005Metric,23.950000,-15.570000,180.000000,TopLayer
R13,33R,R_0402_1005Metric,53.499000,21.436000,90.000000,TopLayer
R14,1k,R_0402_1005Metric,53.021500,44.552000,90.000000,TopLayer
R15,27R,R_0402_1005Metric,55.023000,28.550000,180.000000,TopLayer
R16,27R,R_0402_1005Metric,55.023000,27.534000,180.000000,TopLayer
R17,100K,R_0402_1005Metric,49.860000,-9.730000,90.000000,TopLayer
RN1,47K,R_Array_Convex_4x0603,48.452000,49.181000,0.000000,TopLayer
S1,TS-1187A-B-A-B,SW_TS-1187A-B-A-B,31.620000,-13.635000,180.000000,TopLayer
S2,TS-1187A-B-A-B,SW_TS-1187A-B-A-B,68.100000,39.705000,0.000000,TopLayer
Super_Cap1,1F,CP_Radial_D14.0mm_P5.00mm,58.957000,3.480000,0.000000,TopLayer
U1,Optocoupler_DC_PhotoNPN_AKEC,SO-4_4.4x3.6mm_P2.54mm,36.169000,9.297000,90.000000,TopLayer
U2,MAX98357A,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,22.577500,40.830000,0.000000,TopLayer
U3,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,56.801000,38.456000,-90.000000,TopLayer
U4,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,58.477000,19.646000,180.000000,TopLayer
U5,RP2350_60QFN,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,48.597000,28.226000,-90.000000,TopLayer
